Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2
1604070301,Saturday 9th April 2016,Hertha,Hannover,64.5,52.5,38,47.5,1.55,1.9,2.63,2.11,0,7.61
1604070302,Sunday 10th April 2016,Ein Frankfurt,Hoffenheim,40.8,41.3,61.7,58.7,2.45,2.42,1.62,1.7,0.41,0
1604070303,Sunday 10th April 2016,Hamburg,Darmstadt,47.6,41.9,55.6,58.1,2.1,2.39,1.8,1.72,0,2.92
1604070304,Sunday 10th April 2016,Ingolstadt,M'gladbach,31.2,28.1,73.5,71.9,3.2,3.56,1.36,1.39,0,0
1604070305,Sunday 10th April 2016,Stuttgart,Bayern Munich,15.4,20.6,87.7,79.4,6.5,4.86,1.14,1.26,3.07,0
1604070306,Sunday 10th April 2016,Werder Bremen,Augsburg,46.5,40.6,55.6,59.4,2.15,2.46,1.8,1.68,0,4.32
1604070307,Sunday 10th April 2016,Wolfsburg,Mainz,45.5,64.7,57.1,35.3,2.2,1.54,1.75,2.84,17.68,0
1604070308,Monday 11th April 2016,Schalke 04,Dortmund,22.2,30.2,80,69.8,4.5,3.31,1.25,1.43,5.12,0
1604070309,Monday 11th April 2016,FC Koln,Leverkusen,31.2,24.6,72.5,75.4,3.2,4.07,1.38,1.33,0,5.38
1604070310,Saturday 16th April 2016,Hannover,M'gladbach,19.6,23.2,84.7,76.8,5.1,4.31,1.18,1.3,2.24,0
1604070311,Sunday 17th April 2016,Augsburg,Stuttgart,40,40.8,62.5,59.2,2.5,2.45,1.6,1.69,0.7,0
1604070312,Sunday 17th April 2016,Leverkusen,Ein Frankfurt,69,64.4,35.7,35.6,1.45,1.55,2.8,2.81,0,0
1604070313,Sunday 17th April 2016,Darmstadt,Ingolstadt,38.5,33.1,65.4,66.9,2.6,3.02,1.53,1.49,0,2.24
1604070314,Sunday 17th April 2016,Hoffenheim,Hertha,38,39.4,66.7,60.6,2.63,2.54,1.5,1.65,1.12,0
1604070315,Sunday 17th April 2016,Werder Bremen,Wolfsburg,32.3,24.8,72.5,75.2,3.1,4.03,1.38,1.33,0,5
1604070316,Sunday 17th April 2016,Bayern Munich,Schalke 04,84.7,78.2,18.2,21.8,1.18,1.28,5.5,4.58,0,2.24
1604070317,Monday 18th April 2016,Dortmund,Hamburg,80,76,25,24,1.25,1.32,4,4.16,0,0
1604070318,Monday 18th April 2016,Mainz,FC Koln,45.5,46.9,57.1,53.1,2.2,2.13,1.75,1.88,1.34,0
