Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2
1604070401,Saturday 9th April 2016,West Ham,Arsenal,26.7,25.7,77.5,74.3,3.75,3.89,1.29,1.35,0,0
1604070402,Sunday 10th April 2016,Aston Villa,Bournemouth,28.6,34.7,75.2,65.3,3.5,2.88,1.33,1.53,4.32,0
1604070403,Sunday 10th April 2016,Crystal Palace,Norwich,47.6,54.6,55.6,45.4,2.1,1.83,1.8,2.2,6.65,0
1604070404,Sunday 10th April 2016,Southampton,Newcastle,63.7,68.5,38.5,31.5,1.57,1.46,2.6,3.18,6.64,0
1604070405,Sunday 10th April 2016,Swansea,Chelsea,26.3,20.2,77.5,79.8,3.8,4.95,1.29,1.25,0,5.05
1604070406,Sunday 10th April 2016,Watford,Everton,28.6,29.7,74.6,70.3,3.5,3.37,1.34,1.42,0.77,0
1604070407,Sunday 10th April 2016,Man City,West Brom,75.2,75.5,27.8,24.5,1.33,1.32,3.6,4.09,0.68,0
1604070408,Monday 11th April 2016,Sunderland,Leicester,28.6,27.6,75.2,72.4,3.5,3.63,1.33,1.38,0,0
1604070409,Monday 11th April 2016,Liverpool,Stoke,62.1,64.9,40,35.1,1.61,1.54,2.5,2.85,3.65,0
1604070410,Monday 11th April 2016,Tottenham,Man United,50,62.5,51.3,37.5,2,1.6,1.95,2.66,12.46,0
1604070411,Thursday 14th April 2016,Crystal Palace,Everton,32.3,42.6,72.5,57.4,3.1,2.35,1.38,1.74,7.65,0
1604070412,Saturday 16th April 2016,Norwich,Sunderland,42.6,38.4,59.9,61.6,2.35,2.61,1.67,1.62,0,2.16
1604070413,Sunday 17th April 2016,Everton,Southampton,45.5,37.7,58.8,62.3,2.2,2.65,1.7,1.61,0,4.22
1604070414,Sunday 17th April 2016,Man United,Aston Villa,82,69,22.2,31,1.22,1.45,4.5,3.22,0,5.66
1604070415,Sunday 17th April 2016,Newcastle,Swansea,42.2,32.5,61.7,67.5,2.37,3.07,1.62,1.48,0,7.51
1604070416,Sunday 17th April 2016,West Brom,Watford,43.5,45.5,58.8,54.5,2.3,2.2,1.7,1.83,1.79,0
1604070417,Sunday 17th April 2016,Chelsea,Man City,42,35.9,62.5,64.1,2.38,2.79,1.6,1.56,0,2.16
1604070418,Monday 18th April 2016,Bournemouth,Liverpool,27.8,23.1,74.6,76.9,3.6,4.34,1.34,1.3,0,4.54
1604070419,Monday 18th April 2016,Leicester,West Ham,50,43.8,54.6,56.2,2,2.28,1.83,1.78,0,1.74
1604070420,Monday 18th April 2016,Arsenal,Crystal Palace,74.1,74.6,29.4,25.4,1.35,1.34,3.4,3.94,1.05,0
1604070421,Tuesday 19th April 2016,Stoke,Tottenham,23.8,21.9,80,78.1,4.2,4.58,1.25,1.28,0,0
1604070422,Wednesday 20th April 2016,Newcastle,Man City,18.2,19.4,90.9,80.6,5.5,5.14,1.1,1.24,0.77,0
1604070423,Thursday 21st April 2016,Liverpool,Everton,54.6,62.3,52.4,37.7,1.83,1.61,1.91,2.65,8.41,0
1604070424,Friday 22nd April 2016,Arsenal,West Brom,76.9,73.7,29.4,26.3,1.3,1.36,3.4,3.8,0,0
1604070425,Sunday 24th April 2016,Aston Villa,Southampton,22.2,22,87.7,78,4.5,4.56,1.14,1.28,0,0
1604070426,Sunday 24th April 2016,Bournemouth,Chelsea,26.7,23.3,82,76.7,3.75,4.29,1.22,1.3,0,0
1604070427,Sunday 24th April 2016,Leicester,Swansea,62.1,46.6,45.5,53.4,1.61,2.14,2.2,1.87,0,7.24
1604070428,Sunday 24th April 2016,Liverpool,Newcastle,71.4,75.4,35.7,24.6,1.4,1.33,2.8,4.07,7.03,0
1604070429,Sunday 24th April 2016,Man City,Stoke,75.2,72.4,31.2,27.6,1.33,1.38,3.2,3.62,0,0
1604070430,Sunday 24th April 2016,Norwich,Watford,45.5,41.6,63.7,58.4,2.2,2.41,1.57,1.71,0,0
1604070431,Sunday 24th April 2016,Sunderland,Arsenal,20,19.5,89.3,80.5,5,5.12,1.12,1.24,0,0
1604070432,Sunday 24th April 2016,Tottenham,West Brom,73.5,78.3,33.3,21.7,1.36,1.28,3,4.61,9.06,0
1604070433,Saturday 30th April 2016,Swansea,Liverpool,26.7,21,82,79,3.75,4.76,1.22,1.27,0,0
1604070434,Sunday 1st May 2016,Everton,Bournemouth,59.9,50.9,50,49.1,1.67,1.96,2,2.04,0,0
1604070435,Sunday 1st May 2016,Newcastle,Crystal Palace,45.5,36.8,63.7,63.2,2.2,2.72,1.57,1.58,0,0
1604070436,Sunday 1st May 2016,Stoke,Sunderland,54.6,50.6,52.4,49.4,1.83,1.98,1.91,2.02,0,0
1604070437,Sunday 1st May 2016,Watford,Aston Villa,59.9,42.2,47.6,57.8,1.67,2.37,2.1,1.73,0,9.72
1604070438,Sunday 1st May 2016,West Brom,West Ham,38.5,26.1,69,73.9,2.6,3.83,1.45,1.35,0,7.95
1604070439,Sunday 1st May 2016,Arsenal,Norwich,77.5,77.5,29.4,22.5,1.29,1.29,3.4,4.45,0,0
1604070440,Monday 2nd May 2016,Man United,Leicester,55.6,43.6,52.4,56.4,1.8,2.3,1.91,1.77,0,4.28
1604070441,Monday 2nd May 2016,Southampton,Man City,31.2,27.4,76.9,72.6,3.2,3.65,1.3,1.38,0,0
1604070442,Tuesday 3rd May 2016,Chelsea,Tottenham,46.5,40.3,59.9,59.7,2.15,2.48,1.67,1.67,0,0
