Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2,ODD,STAKE,BET,RES,PL,CPL
1604080101,Saturday 9th April 2016,West Ham,Arsenal,25,25.7,77.5,74.3,4,3.89,1.29,1.35,0.46,0,4,0.46,1,0,-0.46,-0.46
1604080102,Sunday 10th April 2016,Aston Villa,Bournemouth,28.4,34.7,74.1,65.3,3.52,2.88,1.35,1.53,4.43,0,3.52,4.43,1,0,-4.43,-4.89
1604080103,Sunday 10th April 2016,Crystal Palace,Norwich,46.5,54.6,55.6,45.4,2.15,1.83,1.8,2.2,7.55,0,2.15,7.55,1,1,8.6825,3.7925
1604080104,Sunday 10th April 2016,Southampton,Newcastle,62.1,68.5,40,31.5,1.61,1.46,2.5,3.18,8.45,0,1.61,8.45,1,1,5.1545,8.947
1604080105,Sunday 10th April 2016,Swansea,Chelsea,26.3,20.2,75.8,79.8,3.8,4.95,1.32,1.25,0,8.31,1.32,8.31,X2,0,-8.31,0.637
1604080106,Sunday 10th April 2016,Watford,Everton,27.8,29.7,73.5,70.3,3.6,3.37,1.36,1.42,1.31,0,3.6,1.31,1,0,-1.31,-0.673
1604080107,Sunday 10th April 2016,Man City,West Brom,73.5,75.5,28.6,24.5,1.36,1.32,3.5,4.09,3.77,0,1.36,3.77,1,1,1.3572,0.6842
1604080108,Monday 11th April 2016,Sunderland,Leicester,27.8,27.6,75.2,72.4,3.6,3.63,1.33,1.38,0,0,0,0,0,0,0,0.6842
1604080109,Monday 11th April 2016,Liverpool,Stoke,61.7,64.9,41.2,35.1,1.62,1.54,2.43,2.85,4.12,0,1.62,4.12,1,1,2.5544,3.2386
1604080110,Monday 11th April 2016,Tottenham,Man United,51.3,62.5,51,37.5,1.95,1.6,1.96,2.66,11.47,0,1.95,10,1,1,9.5,12.7386
1604080201,Saturday 9th April 2016,Granada,Malaga,43.5,35.4,61.7,64.6,2.3,2.83,1.62,1.55,0,3.78,1.62,3.78,X2,1,2.3436,15.0822
1604080201,Sunday 10th April 2016,Real Madrid,Eibar,83.3,81.5,18.2,18.5,1.2,1.23,5.5,5.42,0,0.17,5.5,0.17,X2,0,-0.17,14.9122
1604080202,Sunday 10th April 2016,Espanol,Ath Madrid,23.1,24,80,76,4.33,4.16,1.25,1.32,0.61,0,4.33,0.61,1,0,-0.61,14.3022
1604080203,Sunday 10th April 2016,Sociedad,Barcelona,14.8,18.7,87.7,81.3,6.75,5.34,1.14,1.23,2.29,0,6.75,2.29,1,1,13.1675,27.4697
1604080204,Sunday 10th April 2016,Betis,Levante,47.6,43.5,56.5,56.5,2.1,2.3,1.77,1.77,0,0.02,1.77,0.02,X2,0,-0.02,27.4497
1604080205,Sunday 10th April 2016,Sp Gijon,Celta,32.3,38.5,70.4,61.5,3.1,2.6,1.42,1.63,4.63,0,3.1,4.63,1,0,-4.63,22.8197
1604080206,Monday 11th April 2016,Valencia,Sevilla,41.7,41.7,62.5,58.3,2.4,2.4,1.6,1.71,0,0,0,0,0,0,0,22.8197
1604080207,Monday 11th April 2016,Villarreal,Getafe,64.5,59.5,38,40.5,1.55,1.68,2.63,2.47,0,1.99,2.63,1.99,X2,0,-1.99,20.8297
1604080208,Monday 11th April 2016,Ath Bilbao,Vallecano,61.7,55.6,41.7,44.4,1.62,1.8,2.4,2.25,0,2.37,2.4,2.37,X2,0,-2.37,18.4597
1604080209,Tuesday 12th April 2016,La Coruna,Las Palmas,45.5,51.2,57.8,48.8,2.2,1.95,1.73,2.05,5.23,0,2.2,5.23,1,0,-5.23,13.2297
1604080301,Saturday 9th April 2016,Hertha,Hannover,65.8,52.5,38,47.5,1.52,1.9,2.63,2.11,0,7.61,2.63,7.61,X2,1,12.4043,25.634
1604080301,Sunday 10th April 2016,Ein Frankfurt,Hoffenheim,40.8,41.3,62.5,58.7,2.45,2.42,1.6,1.7,0.41,0,2.45,0.41,1,0,-0.41,25.224
1604080302,Sunday 10th April 2016,Hamburg,Darmstadt,46.5,41.9,57.1,58.1,2.15,2.39,1.75,1.72,0,1.17,1.75,1.17,X2,1,0.8775,26.1015
1604080303,Sunday 10th April 2016,Ingolstadt,M'gladbach,30.3,28.1,74.1,71.9,3.3,3.56,1.35,1.39,0,0,0,0,0,0,0,26.1015
1604080304,Sunday 10th April 2016,Stuttgart,Bayern Munich,15.4,20.6,88.5,79.4,6.5,4.86,1.13,1.26,3.07,0,6.5,3.07,1,0,-3.07,23.0315
1604080305,Sunday 10th April 2016,Werder Bremen,Augsburg,44.4,40.6,57.1,59.4,2.25,2.46,1.75,1.68,0,2.63,1.75,2.63,X2,1,1.9725,25.004
1604080306,Sunday 10th April 2016,Wolfsburg,Mainz,46.5,64.7,57.8,35.3,2.15,1.54,1.73,2.84,17.04,0,2.15,10,1,0,-10,15.004
1604080307,Monday 11th April 2016,Schalke 04,Dortmund,22,30.2,83.3,69.8,4.55,3.31,1.2,1.43,5.26,0,4.55,5.26,1,0,-5.26,9.744
1604080308,Monday 11th April 2016,FC Koln,Leverkusen,31.2,24.6,73.5,75.4,3.2,4.07,1.36,1.33,0,3.59,1.36,3.59,X2,1,1.2924,11.0364
1604080401,Sunday 10th April 2016,Frosinone,Inter,16.7,24.5,87,75.5,6,4.08,1.15,1.32,4.69,0,6,4.69,1,0,-4.69,6.3464
1604080402,Sunday 10th April 2016,Chievo,Carpi,47.6,49.5,55.6,50.5,2.1,2.02,1.8,1.98,1.82,0,2.1,1.82,1,1,2.002,8.3484
1604080403,Sunday 10th April 2016,Sassuolo,Genoa,48.8,34.9,54.6,65.1,2.05,2.87,1.83,1.54,0,11.57,1.83,10,X2,1,8.3,16.6484
1604080404,Sunday 10th April 2016,Milan,Juventus,23.8,21.2,80,78.8,4.2,4.73,1.25,1.27,0,0,0,0,0,0,0,16.6484
1604080405,Sunday 10th April 2016,Empoli,Fiorentina,32.3,27.8,71.9,72.2,3.1,3.59,1.39,1.39,0,0.42,1.39,0.42,X2,0,-0.42,16.2284
1604080406,Monday 11th April 2016,Napoli,Verona,80,79.9,23.1,20.1,1.25,1.25,4.33,4.98,0,0,0,0,0,0,0,16.2284
1604080407,Monday 11th April 2016,Sampdoria,Udinese,47.6,48.2,57.1,51.8,2.1,2.08,1.75,1.93,0.54,0,2.1,0.54,1,1,0.594,16.8224
1604080408,Monday 11th April 2016,Torino,Atalanta,52.4,56.6,51.8,43.4,1.91,1.77,1.93,2.3,4.42,0,1.91,4.42,1,1,4.0222,20.8446
1604080409,Monday 11th April 2016,Palermo,Lazio,28.6,26.5,75.2,73.5,3.5,3.77,1.33,1.36,0,0,0,0,0,0,0,20.8446
1604080410,Tuesday 12th April 2016,Roma,Bologna,75.2,80.7,28.2,19.3,1.33,1.24,3.55,5.19,11.18,0,1.33,10,1,0,-10,10.8446
