Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2,ODD,STAKE,BET
1604220301,Saturday 23rd April 2016,Hamburg,Werder Bremen,41.7,39.8,62.5,60.2,2.4,2.51,1.6,1.66,0,0,0,0,0
1604220302,Saturday 23rd April 2016,FC Koln,Darmstadt,51.3,44,52.4,56,1.95,2.27,1.91,1.79,0,3.79,1.91,3.79,X2
1604220303,Saturday 23rd April 2016,Hertha,Bayern Munich,11.1,15.4,93.5,84.6,9,6.5,1.07,1.18,2.4,0,9,2.4,1
1604220304,Saturday 23rd April 2016,Ingolstadt,Hannover,52.4,46.1,52.4,53.9,1.91,2.17,1.91,1.85,0,1.66,1.91,1.66,X2
1604220305,Saturday 23rd April 2016,Stuttgart,Dortmund,21.1,32.2,83.3,67.8,4.75,3.11,1.2,1.47,7.06,0,4.75,7.06,1
1604220306,Saturday 23rd April 2016,Wolfsburg,Augsburg,55.6,56.9,48.8,43.1,1.8,1.76,2.05,2.32,1.49,0,1.8,1.49,1
1604220307,Sunday 24th April 2016,Schalke 04,Leverkusen,33.3,27.5,70.4,72.5,3,3.63,1.42,1.38,0,3.45,1.42,3.45,X2
1604220308,Sunday 24th April 2016,M'gladbach,Hoffenheim,60.2,57.2,42.6,42.8,1.66,1.75,2.35,2.33,0,0.24,2.35,0.24,X2
1604220309,Monday 25th April 2016,Ein Frankfurt,Mainz,34.7,42.2,69.4,57.8,2.88,2.37,1.44,1.73,5.75,0,2.88,5.75,1
1604220310,Saturday 30th April 2016,Augsburg,FC Koln,45.5,46,58.8,54,2.2,2.17,1.7,1.85,0.54,0,2.2,0.54,1
1604220311,Saturday 30th April 2016,Bayern Munich,M'gladbach,76.9,80.6,26.7,19.4,1.3,1.24,3.75,5.15,7.94,0,1.3,7.94,1
1604220312,Saturday 30th April 2016,Darmstadt,Ein Frankfurt,40,36.6,63.7,63.4,2.5,2.73,1.57,1.58,0,0,0,0,0
1604220313,Saturday 30th April 2016,Dortmund,Wolfsburg,62.5,62.2,38.5,37.8,1.6,1.61,2.6,2.65,0,0,0,0,0
1604220314,Saturday 30th April 2016,Hannover,Schalke 04,23.5,35.2,80,64.8,4.25,2.84,1.25,1.54,7.63,0,4.25,7.63,1
1604220315,Saturday 30th April 2016,Hoffenheim,Ingolstadt,46.5,44,57.8,56,2.15,2.27,1.73,1.78,0,0,0,0,0
1604220316,Saturday 30th April 2016,Mainz,Hamburg,52.4,49.5,52.4,50.5,1.91,2.02,1.91,1.98,0,0,0,0,0
1604220317,Sunday 1st May 2016,Leverkusen,Hertha,57.1,71.9,46.5,28.1,1.75,1.39,2.15,3.56,17.25,0,1.75,10,1
1604220318,Tuesday 3rd May 2016,Werder Bremen,Stuttgart,42.6,37.9,61.7,62.1,2.35,2.64,1.62,1.61,0,0.53,1.62,0.53,X2
