Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2,ODD,STAKE,BET
1604220401,Sunday 24th April 2016,Inter,Udinese,68.5,56.1,35.7,43.9,1.46,1.78,2.8,2.28,0,6.35,2.8,6.35,X2
1604220402,Sunday 24th April 2016,Frosinone,Palermo,41.7,40.9,62.5,59.1,2.4,2.44,1.6,1.69,0,0,0,0,0
1604220403,Sunday 24th April 2016,Atalanta,Chievo,50,45.5,54.6,54.5,2,2.2,1.83,1.84,0,0,0,0,0
1604220404,Sunday 24th April 2016,Bologna,Genoa,43.5,26.4,59.9,73.6,2.3,3.79,1.67,1.36,0,17.07,1.67,10,X2
1604220405,Sunday 24th April 2016,Sampdoria,Lazio,35.7,28.8,69.4,71.2,2.8,3.47,1.44,1.4,0,2.84,1.44,2.84,X2
1604220406,Sunday 24th April 2016,Torino,Sassuolo,48.8,52,54.9,48,2.05,1.92,1.82,2.08,3.11,0,2.05,3.11,1
1604220407,Monday 25th April 2016,Fiorentina,Juventus,26.7,27.7,76.9,72.3,3.75,3.62,1.3,1.38,0.67,0,3.75,0.67,1
1604220408,Monday 25th April 2016,Roma,Napoli,38.5,44.5,64.9,55.5,2.6,2.25,1.54,1.8,4.88,0,2.6,4.88,1
1604220409,Tuesday 26th April 2016,Verona,Milan,20,34.6,84,65.4,5,2.89,1.19,1.53,9.13,0,5,9.13,1
1604220410,Tuesday 26th April 2016,Carpi,Empoli,54.1,37.5,50.8,62.5,1.85,2.67,1.97,1.6,0,11.91,1.97,10,X2
