Game.id,Date,Home,Away,pct.bo.H,pct.mo.H,pct.bo.X2,pct.mo.X2,odd.bo.H,odd.mo.H,odd.bo.X2,odd.mo.X2,stake.H,stake.X2,ODD,STAKE,BET
1604190201,Wednesday 20th April 2016,Espanol,Celta,38.5,36.7,64.9,63.3,2.6,2.72,1.54,1.58,0,0,0,0,0
1604190202,Wednesday 20th April 2016,Betis,Las Palmas,46.5,40.9,56.5,59.1,2.15,2.45,1.77,1.69,0,3.03,1.77,3.03,X2
1604190203,Thursday 21st April 2016,Ath Bilbao,Ath Madrid,25,32.3,77.5,67.7,4,3.1,1.29,1.48,4.84,0,4,4.84,1
1604190204,Thursday 21st April 2016,La Coruna,Barcelona,7.1,22.7,95.2,77.3,14,4.41,1.05,1.29,8.38,0,14,8.38,1
1604190205,Thursday 21st April 2016,Sp Gijon,Sevilla,31.2,35.6,72.5,64.4,3.2,2.81,1.38,1.55,3.14,0,3.2,3.14,1
1604190206,Thursday 21st April 2016,Malaga,Vallecano,51.3,44.8,51.3,55.2,1.95,2.23,1.95,1.81,0,4.01,1.95,4.01,X2
1604190207,Thursday 21st April 2016,Real Madrid,Villarreal,82,80.1,22.2,19.9,1.22,1.25,4.5,5.02,0,0,0,0,0
1604190208,Thursday 21st April 2016,Valencia,Eibar,60.2,57.8,43.1,42.2,1.66,1.73,2.32,2.37,0,0,0,0,0
1604190209,Friday 22nd April 2016,Granada,Levante,50,41.2,51.8,58.8,2,2.43,1.93,1.7,0,7.28,1.93,7.28,X2
1604190210,Friday 22nd April 2016,Sociedad,Getafe,64.5,52.3,38,47.7,1.55,1.91,2.63,2.1,0,7.79,2.63,7.79,X2
